"Hillnumber","Hillname","_Section","Classification","Metres","Feet","Gridref","Gridref10","Colgridref","Colheight","Drop","Feature","Observations","Survey","Revision","Comments","Map","Map25","Xcoord","Ycoord","Latitude","Longitude"
"380","Creag na Doire Duibhe","4.2","Ma","571","1873","NN615905","NN 61509 90577","NN601884","405","166","cairn","","","22/12/07 00:00:00","1:50000 shows 574m","35","402","261507","790586","56.98485","-4.28079"
"381","Meall Luidh Mor","4.2","Ma","514","1686","NN416797","NN 41697 79709","NN408783","362","152","cairn on knoll","cairn is 35m E of trig point which is at NN 41665 79700","Abney level","28/10/01 00:00:00","","42","393","241694","779718","56.88173","-4.59961"
"382","Sron Smeur","4.2","Ma","511","1677","NN451601","NN 45181 60163","NN457606","345","166","large boulder","","obvious summit","15/01/03 00:00:00","","42","385E   ","245178","760172","56.70749","-4.53065"
"383","Beinn Udlamain","5","Ma,M,Mur","1011","3317","NN579739","NN 57951 73968","NN630759","455","556","ground on W edge of large windshelter","ground 130m N is 0.5m lower, boulder 5m SW is lower","Abney level","28/10/01 00:00:00","","42","393","257949","773977","56.83546","-4.32991"
"384","Sgairneach Mhor","5","Ma,M,Mur","991","3251","NN598731","NN 59884 73119","NN582728","812","179","trig point in windshelter","cairn is 5m W at NN 59879 73120 and of equal height; ground to 15m in arc NW-W-SW <15cm lower","Abney level","28/10/01 00:00:00","","42","393","259882","773128","56.82843","-4.29779"
"385","Sgairneach Mhor (old position)","5","xMT","991","3251","NN594727","NN 59500 72748","","","","cairn and ground to 10m NE","ground only drops 20cm before rising again to trig point 530m NE","Abney level","20/11/09 00:00:00","","42","385E 393  ","259498","772757","56.82498","-4.30387"
"386","A'Mharconaich","5","M,Mur,Hu","975","3199","NN604762","NN 60425 76283","NN591752","861","114","small cairn and ground to 5m SE","windshelter 95m NE at NN 60485 76354 is 1m lower.  Hill 386 500m SW at NN60147 75874 is a few metres lower","Abney level","20/11/09 00:00:00","","42","393","260423","776292","56.85699","-4.29066"
"387","A'Mharconaich-Bruach nan Iomairean (1974 position)","5","xMT","975","3199","NN601758","NN 60147 75874","","","","cairn and ground to 5m SE","a few metres lower than summit of a'Mharconaich (hill 386)","Abney level","08/06/09 00:00:00","","42","393","260145","775883","56.85324","-4.29499"
"388","Meall Chuaich","5","Ma,M,Mur","951","3120","NN716878","NN 71648 87823","NN719786","485","466","large cairn","","","30/06/08 00:00:00","","42","394W   ","271646","787832","56.96383","-4.1126"
"389","Carn na Caim","5","Ma,M,Mur","941","3087","NN677821","NN 67703 82141","NN721868","614","327","cairn","","","28/10/01 00:00:00","","42","394W   ","267701","782150","56.91171","-4.17446"
"390","A'Bhuidheanach Bheag","5","M,Mur,Hu","936","3071","NN660776","NN 66071 77592","NN659789","825","111","trig point","","","20/11/09 00:00:00","","42","394W   ","266069","777601","56.87041","-4.19884"
"391","A'Bhuidheanach Bheag - Glas Mheall Mor","5","MT,Mur","928","3045","NN680769","NN 68063 76948","","860","68","cairn","","","28/10/01 00:00:00","","42","394W   ","268061","776957","56.8652","-4.16585"
"392","Geal-charn","5","Ma,M,Mur","917","3009","NN596782","NN 59642 78251","NN593766","739","178","windshelter","cairn on E top at NN 59772 78287 is about 1m lower","Abney level","28/10/01 00:00:00","","42","393","259640","778260","56.87442","-4.30458"
"393","A'Bhuidheanach Bheag - Meall a'Chaorainn","5","xMT","916","3005","NN646777","","","","","","","","28/10/01 00:00:00","","42","394W   ","264600","777700","56.87087","-4.22297"
"394","Carn na Caim South Top","5","CTM,sMur","914","2999","NN664806","NN 66394 80676","NN669813","884","30","no feature","","","15/01/03 00:00:00","","42","394W   ","266392","780685","56.89819","-4.19517"
"395","Beinn a'Chuallaich","5","Ma,C","892","2927","NN684617","NN 68460 61767","NN636621","365","527","large cairn 20m SSE of trig point","cairn base is 0.7m above FB of trig point at NN 68450 61785","Abney level","15/01/03 00:00:00","","42","386W   ","268458","761775","56.72902","-4.15152"
"396","Stob an Aonaich Mhoir","5","Ma,C","855","2805","NN537694","NN 53745 69417","NN547688","625","230","cairn","","","28/10/01 00:00:00","","42","385E 393  ","253743","769426","56.79331","-4.39617"
"397","Beinn Mholach","5","Ma,C","841","2759","NN587654","NN 58752 65481","NN557680","646","195","large cairn","trig point 20m W at NN 58735 65485 is slightly lower","obvious summit","15/01/03 00:00:00","","42","385E   ","258750","765490","56.75953","-4.31209"
"398","Beinn Mholach - Glas Mheall Mor","5","CTC,sMa,Hu","830","2723","NN563673","","NN578651","681","149","","","","15/01/03 00:00:00","","42","385E   ","256300","767300","56.77502","-4.35315"
"399","An Dun","5","Ma,C","827","2713","NN717805","NN 71738 80498","NN710803","595","232","small cairn","note this is the accepted summit but it is probably about 1m lower than hill 400","Abney level","28/10/01 00:00:00","","42","394W   ","271736","780507","56.8981","-4.10741"
"400","An Dun (old GR)","5","xMa,xC","827","2713","NN716801","NN 71653 80134","NN717803","822","5","tiny cairn","30m NNW of main cairn and 50cm higher.  Note probably higher than hill 399 the accepted summit.","Abney level","20/11/09 00:00:00","","42","394W   ","271651","780143","56.89481","-4.10862"
"401","The Sow of Atholl","5","Ma,C","803","2635","NN625741","NN 62520 74112","NN618735","637","166","cairn around boulder","ground at NN 62480 74118 40cm higher than base of boulder","Abney level","10/03/07 00:00:00","","42","393","262518","774121","56.83813","-4.25516"
"402","Meall na Leitreach","5","Ma,C","775","2543","NN640702","NN 64056 70266","NN636662","446","329","no feature: 30m W of cairn","ground is 20cm higher than base of cairn at NN 64090 70270","Abney level","10/03/07 00:00:00","","42","386W 394W  ","264054","770275","56.80406","-4.22796"
"403","Creag Ruadh","5","Ma,G","658","2159","NN685882","NN 68534 88205","NN722898","461","197","cairn","","Abney level","28/10/01 00:00:00","","42","394W 402  ","268532","788214","56.96638","-4.16397"
"404","Creag a'Mhadaidh","5","Ma,G","612","2008","NN634650","NN 63472 65015","NN623648","456","156","cairn","","","28/10/01 00:00:00","","42","386W   ","263470","765024","56.75675","-4.23471"
"405","Drumcroy Hill","5","Ma","512","1680","NN741629","NN 74162 62957","NN717625","323","189","wall corner with small cairn on top","","","28/10/01 00:00:00","","42","386W   ","274160","762965","56.74128","-4.05898"
"406","Beinn Dearg","6.1","Ma,M,Mur","1008","3307","NN852777","NN 85291 77778","NN916873","536","472","trig point","","","28/10/01 00:00:00","","43","394E   ","285290","777787","56.87723","-3.8838"
"407","An Sgarsoch","6.1","Ma,M,Mur","1006","3301","NN933836","NN 93334 83657","NN857808","687","319","cairn","","","28/10/01 00:00:00","","43","394E   ","293333","783666","56.93194","-3.75438"
"408","Carn an Fhidhleir [Carn Ealar]","6.1","Ma,M,Mur","994","3261","NN904841","NN 90471 84177","NN919829","710","284","cairn","","","10/03/07 00:00:00","","43","394E   ","290470","784186","56.93594","-3.80162"
"409","Carn a'Chlamain","6.1","Ma,M,Mur","963","3159","NN915758","NN 91590 75799","NN888802","646","317","cairn","","obvious summit","28/10/01 00:00:00","","43","394E   ","291589","775808","56.86098","-3.77966"
"410","Carn a'Chlamain North Top","6.1","xMT","955","3133","NN913761","NN 91375 76130","","","","ground near cairn","","","30/06/08 00:00:00","","43","394E   ","291374","776139","56.8639","-3.78333"
"411","An Sgarsoch - Druim Sgarsoch","6.1","xMT","954","3130","NN945836","","","","","","","","28/10/01 00:00:00","","43","394E   ","294500","783600","56.93161","-3.73519"
"412","Beinn Dearg - Beinn Gharbh","6.1","xMT","932","3058","NN851790","","","","","","","","28/10/01 00:00:00","","43","394E   ","285100","779000","56.88807","-3.88747"
"413","Leathad an Taobhain","6.1","Ma,C,sMur","912","2992","NN821858","NN 82175 85815","NN858831","757","155","trig point","","","15/01/03 00:00:00","","43","394E   ","282174","785824","56.9486","-3.93864"
"414","Beinn Bhreac","6.1","Ma,C,sMur","912","2992","NN868820","NN 86820 82053","NN882836","741","171","cairn","","","28/10/01 00:00:00","","43","394E   ","286819","782062","56.91599","-3.86064"
"415","Beinn Mheadhonach","6.1","Ma,C,sMur","901","2956","NN880759","NN 88017 75910","NN874778","736","165","cairn","cairn 445m S at NN 87975 75465is probably lower","","08/06/09 00:00:00","","43","394E   ","288016","775919","56.86112","-3.83828"
"416","Maol Creag an Loch [A'Chaoirnich]","6.1","Ma,C","875","2871","NN735807","NN 73526 80702","NN766801","662","213","tiny cairn and ground to 5m W","cairn 580m S at NN 73525 80700 should not be mistaken for the summit","Abney level","12/06/02 00:00:00","","42","394W   ","273524","780711","56.90042","-4.07818"
"417","Carn Dearg Mor","6.1","Ma,C","857","2812","NN823911","NN 82326 91179","NN821899","565","292","cairn","","","28/10/01 00:00:00","","35 43","402","282325","791188","56.99601","-3.93903"
"418","Leathad an Taobhain - Carn an Fhidleir Lorgaidh","6.1","CTC,sMa,Hu","849","2785","NN856874","","NN848867","706","143","","","","15/01/03 00:00:00","","43","394E 403S  ","285600","787400","56.96362","-3.88306"
"419","Leathad an Taobhain - Meall Odhar a'Chire","6.1","CTC,sMa,Hu","834","2736","NN796785","","NN803810","691","143","","","","15/01/03 00:00:00","","42","394W   ","279600","778500","56.88219","-3.97744"
"420","Meallach Mhor","6.1","Ma,C","769","2523","NN776908","NN 77665 90869","NN801903","537","232","cairn","","","15/01/03 00:00:00","","35","402","277663","790878","56.9928","-4.01521"
"421","Beinn a'Ghlo - Carn nan Gabhar","6.2","Ma,M,Mur","1121","3678","NN971733","NN 97120 73307","NN990726","464","657","centre of summit construction","","","20/11/09 00:00:00","Height reduced from 1129m in v7.0 following OS correction","43","394E   ","297119","773316","56.83986","-3.688"
"422","Braigh Coire Chruinn-bhalgain","6.2","Ma,M,Mur","1070","3510","NN945724","NN 94566 72402","NN958726","847","223","cairn","","obvious summit","28/10/01 00:00:00","","43","394E   ","294565","772411","56.83116","-3.72947"
"423","Beinn a'Ghlo - Airgiod Bheinn","6.2","MT,Mur","1061","3481","NN961720","NN 96188 71989","","1011","50","rock","","","28/10/01 00:00:00","","43","394E   ","296187","771997","56.82781","-3.70273"
"424","Glas Tulaichean","6.2","Ma,M,Mur","1051","3448","NO051760","NO 05107 76002","NO141774","805","384","trig point","ground in 10m radius about as high","","28/10/01 00:00:00","","43","387N   ","305106","776011","56.86576","-3.55815"
"425","Beinn Iutharn Mhor","6.2","Ma,M,Mur","1045","3428","NO045792","NO 04567 79271","NO058779","805","240","cairn","","obvious summit","28/10/01 00:00:00","","43","387N   ","304566","779280","56.89501","-3.56823"
"426","Carn an Righ","6.2","Ma,M,Mur","1029","3376","NO028772","NO 02872 77257","NO038771","771","258","cairn/summit shelter","","obvious summit","28/10/01 00:00:00","","43","387N   ","302871","777266","56.87657","-3.59527"
"427","Beinn Iutharn Mhor - Mam nan Carn","6.2","MT,Mur","986","3235","NO049779","NO 04901 77957","","910","76","cairn","","Abney level","28/10/01 00:00:00","","43","387N   ","304900","777966","56.88328","-3.56226"
"428","Carn a'Gheoidh","6.2","Ma,M,Mur","975","3199","NO107767","NO 10700 76695","NO090777","677","298","","","obvious summit","28/10/01 00:00:00","","43","387N   ","310699","776704","56.8731","-3.46669"
"429","Carn Liath","6.2","Ma,M,Mur","975","3199","NN936698","NN 93607 69822","NN938714","765","210","cairn","cairn base is 80cm higher than trig point flush bracket","Abney level","28/10/01 00:00:00","","43","394E   ","293606","769831","56.80777","-3.7441"
"430","Beinn Iutharn Mhor - Beinn Iutharn Bheag","6.2","MT,Mur,Hu","953","3127","NO065791","NO 06524 79113","NO060786","848","105","tiny cairn on rib of rock","tiny cairn is 60m NE of main cairn (NO 06498 79058) and 30cm higher","Abney level","20/11/09 00:00:00","","43","387N   ","306523","779122","56.89399","-3.53606"
"431","Carn nan Gabhar North Top","6.2","sMur","947","3107","NN974745","","","926","21","","","","15/01/03 00:00:00","","43","394E   ","297400","774500","56.85055","-3.68388"
"432","Carn Bhac","6.2","Ma,M,Mur","946","3104","NO051832","NO 05099 83246","NO047806","759","187","cairn","","","28/10/01 00:00:00","","43","387N   ","305098","783255","56.93081","-3.56099"
"433","An Socach","6.2","Ma,M,Mur","944","3097","NO079799","","NO079789","756","188","","","","28/10/01 00:00:00","","43","387N   ","307900","779900","56.90125","-3.51375"
"434","An Socach East Top","6.2","MT,Mur","938","3077","NO099805","","","896","42","","","","28/10/01 00:00:00","","43","387N   ","309900","780500","56.90703","-3.48114"
"435","The Cairnwell","6.2","M,Mur,Hu","933","3061","NO134773","NO 13486 77366","NO127781","808","125","","","obvious summit","20/11/09 00:00:00","","43","387N   ","313485","777375","56.87965","-3.42122"
"436","Carn Bhac SW Top","6.2","MT,sMur","920","3018","NO041827","","","894","26","","","","28/10/01 00:00:00","","43","387N   ","304100","782700","56.92562","-3.57717"
"437","Carn a'Gheoidh - Carn nan Sac","6.2","xMT","920","3018","NO119769","NO 11948 76947","","","","","","obvious summit","28/10/01 00:00:00","","43","387N   ","311947","776955","56.87559","-3.44631"
"438","Carn Aosda","6.2","M,Mur,Hu","917","3009","NO134791","","NO127785","795","122","","","","20/11/09 00:00:00","","43","387N   ","313400","779100","56.89513","-3.42321"
"439","Carn a'Gheoidh - Carn Bhinnein","6.2","MT,Mur","917","3009","NO091762","","","854","63","","","","28/10/01 00:00:00","","43","387N   ","309100","776200","56.86826","-3.49273"
"440","Carn Bhac - Carn a'Bhutha","6.2","xMT,ssMur","907","2976","NO033820","","NO086821","883","24","","","","22/12/07 00:00:00","","43","387N   ","303300","782000","56.91917","-3.59004"
"441","Ben Vuirich","6.2","Ma,C,sMur","903","2963","NN997699","NN 99723 69989","NN974708","558","345","stone","stone is 8m NNE of trig in shelter","Abney level","10/03/07 00:00:00","","43","394E   ","299722","769997","56.81062","-3.64405"
"442","An Socach - Sgor Mor","6.2","CTM,xC,Hu","887","2910","NO115825","","NO107821","755","132","","","","15/01/03 00:00:00","","43","387N   ","311500","782500","56.9253","-3.45557"
"443","Glas Tulaichean - Meall a'Choire Bhuidhe","6.2","CTM,sMa,Hu","868","2848","NO062710","","NO028733","726","142","","","","15/01/03 00:00:00","","43","387N   ","306200","771000","56.82098","-3.53836"
"444","Morrone","6.2","Ma,C","859","2818","NO132886","NO 13203 88634","NO124852","704","155","trig point","large cairn 12m NE at NO 13210 88640 and small cairn 25m E at NO 13230 88635 about as high","","28/10/01 00:00:00","","43","387N 404S  ","313202","788643","56.98079","-3.42973"
"445","Ben Vrackie","6.2","Ma,C","841","2759","NN950632","NN 95081 63235","NN974656","439","402","viewpoint","viewpoint is 90cm higher than flush bracket of  trig point  8m NW at NN 95075 63240","Abney level","28/10/01 00:00:00","","43","386E   ","295080","763243","56.74895","-3.71727"
"446","Ben Gulabin","6.2","Ma,C","806","2644","NO100722","NO 10039 72210","NO105729","602","204","cairn","","obvious summit","15/01/03 00:00:00","","43","387N   ","310038","772218","56.83268","-3.47594"
"447","Glas Tulaichean - Meall Uaine","6.2","CTM,sMa,xC,Hu","794","2605","NO110674","","NO094683","648","146","","","","15/01/03 00:00:00","","43","387S   ","311000","767400","56.7896","-3.4585"
"448","Blath Bhalg","6.2","Ma,G","641","2103","NO019611","NO 01938 61113","NN991618","376","265","small cairn","","","28/10/01 00:00:00","","43","387S   ","301937","761121","56.73139","-3.60438"
"449","Creag an t-Sithein","6.2","sMa,sG,GTC,Hu","634.36","2081","NO031658","NO 03186 65822","NO 02406 66970","486.42","147.9","no feature","pencil cairn 80m N at NO 03166 65899 is 0.6m lower; small cairn 40m S at NO 03204 65781 is 7cm lower","Leica NA730/530","20/11/09 00:00:00","Confirmed as SubMarilyn by surveying","43","387S   ","303185","765831","56.77393","-3.58576"
"450","Creag nam Mial","6.2","Ma","563","1847","NO053541","NO 05380 54111","NO016585","354","209","cairn","","obvious summit","15/01/03 00:00:00","","52 53","387S   ","305379","754119","56.66922","-3.54557"
"451","Creag nam Brataichean","6.2","sMa,Hu","538","1765","NO113614","","NO110627","398","140","","","","28/10/01 00:00:00","","43","387S   ","311300","761400","56.73577","-3.45151"
"452","Meall Dail Min","6.2","sMa,Hu","536","1759","NN892692","","NN898701","396","140","","","","28/10/01 00:00:00","","43","394E   ","289200","769200","56.80108","-3.81595"
"453","Deuchary Hill","6.2","Ma","511","1677","NO037485","NO 03735 48509","NO040498","293","218","rib of rock","rock is 1.5m higher and 15m SW of trig point (NO 03745 48520)","Abney level","28/10/01 00:00:00","","52 53","379E   ","303734","748517","56.61858","-3.57031"
"454","Hill of Persie","6.2","Ma","447","1467","NO122560","NO 12251 56048","NO111597","278","169","","","","28/10/01 00:00:00","","53","387S   ","312250","756056","56.68796","-3.43416"
"455","Craig a Barns","6.2","sMa,Hu","360","1181","NO015448","","NN020472","218","142","","","","28/10/01 00:00:00","","52 53","379E   ","301500","744800","56.58473","-3.60528"
"456","Newtyle Hill","6.2","Ma","317","1040","NO050418","NO 05003 41881","NO038426","135","182","cairn","","","10/03/07 00:00:00","","52 53","379E   ","305002","741889","56.55932","-3.54722"
"457","Lochnagar - Cac Carn Beag","7","Ma,M,Mur","1155","3789","NO243861","NO 24373 86131","NN999825","485","670","rock tor 2m NE of trig point","","obvious summit","28/10/01 00:00:00","","44","388N   ","324373","786140","56.96027","-3.24524"
"458","Lochnagar - Cac Carn Mor","7","xMT","1150","3773","NO245856","NO 24516 85679","","","","cairn on rock tor","","obvious summit","15/01/03 00:00:00","","44","388N   ","324516","785688","56.95624","-3.24275"
"459","Carn a'Choire Bhoidheach","7","M,Mur","1110","3642","NO226845","NO 22672 84548","","1035","75","cairn","","Abney level","15/01/03 00:00:00","","44","388N   ","322671","784557","56.94578","-3.27273"
"460","Lochnagar - Cuidhe Crom","7","MT,Mur","1083","3553","NO259849","NO 25996 84916","","1045","38","rock tor","cairn at NO 25600 85015 is lower","Abney level","28/10/01 00:00:00","","44","388N   ","325996","784925","56.94963","-3.2182"
"461","Glas Maol","7","Ma,M,Mur,CoH,CoU","1068","3504","NO166765","NO 16700 76568","NO215802","874","194","trig point","ground to 20m N and S of trig point is about same height","Abney level","10/03/07 00:00:00","","43","387N   ","316699","776577","56.87307","-3.36824"
"462","Carn a'Choire Bhoidheach - Creag a'Ghlas-uillt","7","MT","1068","3504","NO242842","NO 24210 84230","","1052","16","cairn","","Abney level","28/10/01 00:00:00","","44","388N   ","324210","784239","56.94317","-3.24735"
"463","Cairn of Claise","7","M,Mur,Hu","1064","3491","NO185788","","NO174778","945","119","","","","20/11/09 00:00:00","","43","387N 388N  ","318500","778800","56.89336","-3.33942"
"464","Carn a'Choire Bhoidheach - Top of Eagle's Rock","7","MT","1051","3448","NO237838","NO 23713 83845","","1034","17","cairn","","Abney level","28/10/01 00:00:00","","44","388N   ","323713","783854","56.93964","-3.2554"
"465","Carn an t-Sagairt Mor","7","M,Mur","1047","3435","NO208843","","","962","85","","","","28/10/01 00:00:00","","44","388N   ","320800","784300","56.94315","-3.3034"
"466","Carn a'Choire Bhoidheach - Carn an t-Sagairt Beag","7","MT,Mur","1044","3425","NO216848","","","1003","41","","","","28/10/01 00:00:00","","44","388N   ","321600","784800","56.94778","-3.29041"
"467","Carn an Tuirc","7","M,Mur","1019","3343","NO174804","","","955","64","","","","28/10/01 00:00:00","","43","387N 388N  ","317400","780400","56.90753","-3.35799"
"468","Cairn Bannoch","7","M,Mur","1012","3320","NO222825","NO 22287 82545","","935","77","cairn","","","28/10/01 00:00:00","","44","388N   ","322286","782554","56.92772","-3.27844"
"469","Cairn Bannoch - Fafernie","7","MT","1000","3281","NO215823","NO 21513 82305","","984","16","cairn","","","28/10/01 00:00:00","","44","388N   ","321512","782314","56.92544","-3.29108"
"470","Broad Cairn","7","M,Mur","998","3274","NO240815","NO 24056 81560","","934","64","cairn","","","28/10/01 00:00:00","","44","388N   ","324055","781569","56.91917","-3.24909"
"471","Cairn Bannoch - Cairn of Gowal","7","MT,sMur","991","3251","NO226820","","","969","22","","","","28/10/01 00:00:00","","44","388N   ","322600","782000","56.9228","-3.27312"
"472","Creag Leacach","7","M,Mur","987","3238","NO154745","NO 15467 74542","","919","68","cairn","","obvious summit","28/10/01 00:00:00","","43","387N   ","315466","774550","56.85465","-3.38779"
"473","Broad Cairn - Creag an Dubh-loch","7","MT,Mur","983","3225","NO233822","","","934","49","","","","28/10/01 00:00:00","","44","388N   ","323300","782200","56.92471","-3.26168"
"474","Cairn Bannoch - Cairn of Gowal (old GR)","7","xMT","983","3225","NO227817","","","","","","","","28/10/01 00:00:00","","44","388N   ","322700","781700","56.92012","-3.27138"
"475","Lochnagar - Meikle Pap","7","MT,Mur","980","3215","NO259860","NO 25985 86060","","917","63","rock","","","28/10/01 00:00:00","","44","388N   ","325985","786069","56.9599","-3.21872"
"476","Lochnagar - Meall Coire na Saobhaidhe","7","MT,Mur","974","3196","NO242872","NO 24251 87286","","904","70","cairn","","","28/10/01 00:00:00","","44","388N   ","324251","787295","56.97063","-3.24759"
"477","Glas Maol - Little Glas Maol","7","MT","973","3192","NO175759","NO 17592 75953","","952","21","three stones","ground  20cm higher than cairn 20m SSE at NO 17600 75934","Abney level","15/01/03 00:00:00","Potential SubMurdo, uncertainty in col height","43","387N 388S  ","317591","775962","56.86771","-3.35341"
"478","Cairn of Claise - Druim Mor","7","MT","961","3153","NO190771","","","944","17","","","","28/10/01 00:00:00","","43","387N 388N 388S ","319000","777100","56.87818","-3.33067"
"479","Tolmount","7","M,Mur","958","3143","NO210800","NO 21051 80009","","886","72","cairn","","","28/10/01 00:00:00","","44","388N   ","321050","780018","56.90474","-3.29795"
"480","Tom Buidhe","7","M,Mur","957","3140","NO213787","NO 21368 78764","","886","71","cairn","","","28/10/01 00:00:00","","44","388N   ","321367","778773","56.89361","-3.29236"
"481","Lochnagar - Little Pap","7","MT,sMur","956","3136","NO264844","NO 26465 84429","","934","22","rock 50m W of cairn","","Abney level","08/06/09 00:00:00","","44","388N   ","326465","784438","56.94533","-3.21035"
"482","Cairn Bannoch - Creag Leachdach","7","xMT","960","3150","NO210816","","","","","","","","15/01/03 00:00:00","","44","388N   ","321000","781600","56.91894","-3.29927"
"483","Driesh","7","M,Mur,Hu","947","3107","NO271735","NO 27117 73581","NO260738","809","138","trig point","","","20/11/09 00:00:00","","44","388S   ","327117","773589","56.84799","-3.19652"
"484","Creag Leacach SW Top","7","MT,sMur","943","3094","NO149741","NO 14941 74164","","918","25","cairn","this cairn is 5cm higher than cairn 20m W at NO 14921 74164; ground 15m SW over wall at NO 14944 74151 is 0.5m lower","Abney level","28/10/01 00:00:00","","43","387N   ","314940","774172","56.85115","-3.39629"
"485","Mount Keen","7","Ma,M,Mur","939","3081","NO409869","NO 40905 86918","NO372867","627","312","rock 1m S of trig point","","obvious summit","28/10/01 00:00:00","","44","395","340905","786927","56.96975","-2.97362"
"486","Mayar","7","M,Mur,Hu","928","3045","NO240737","NO 24082 73740","NO218761","817","111","cairn","","","20/11/09 00:00:00","","44","388S   ","324081","773749","56.84894","-3.24632"
"487","Cairn Bannoch - Craig of Gowal","7","MT,sMur","927","3041","NO232809","","","904","23","","","","28/10/01 00:00:00","","44","388N   ","323200","780900","56.91302","-3.26293"
"488","Glas Maol - Meall Odhar","7","MT","922","3025","NO156773","NO 15597 77346","","907","15","flat pile of stones","pile of stones is 40m ESE of cairn at NO 15560 77356","Abney level","28/10/01 00:00:00","","43","387N   ","315596","777354","56.87985","-3.38659"
"489","Tolmount - Crow Craigies","7","MT,Mur","920","3018","NO222798","NO 22205 79856","","883","37","cairn","","","15/01/03 00:00:00","","44","388N   ","322204","779865","56.90356","-3.27896"
"490","Mayar - Finalty Hill","7","CTM,sMur","905","2969","NO212750","NO 21251 75071","NO233743","837","68","flat summit; no cairn","","","15/01/03 00:00:00","","44","388S   ","321250","775079","56.86041","-3.29314"
"491","Ben Tirran","7","Ma,C","896","2940","NO373746","NO 37342 74607","NO287801","652","244","trig point","","","28/10/01 00:00:00","","44","388S   ","337342","774615","56.85869","-3.02918"
"492","Conachcraig","7","Ma,C","865","2838","NO279865","NO 27949 86512","NO273861","678","187","rock tor 40m W of cairn","rock tor 40cm higher than cairn at NO 27990 86520. Rock tor 100m S is 2m lower.","Abney level","28/10/01 00:00:00","","44","388N   ","327949","786521","56.96427","-3.18656"
"493","Driesh - Hill of Strone","7","CTM,sMa,Hu","850","2789","NO288729","","NO282735","705","145","","","","15/01/03 00:00:00","","44","388S   ","328800","772900","56.84206","-3.16874"
"494","Creag nan Gabhar","7","Ma,C","834","2736","NO154841","NO 15464 84102","NO165832","656","178","cairn","","","28/10/01 00:00:00","","43","387N   ","315463","784111","56.94051","-3.39103"
"495","Monamenach","7","Ma,C","807","2648","NO176706","NO 17601 70662","NO172713","608","199","cairn","","obvious summit","15/01/03 00:00:00","","43","387N 388S  ","317600","770670","56.82018","-3.35155"
"496","Mount Battock","7","Ma,C,CoH","778","2552","NO549844","NO 54964 84461","NO537854","492","286","trig point","","","28/10/01 00:00:00","","44","395","354964","784470","56.94927","-2.74197"
"497","Mount Blair","7","Ma,G","744","2441","NO167629","NO 16743 62965","NO152644","344","400","trig point: OS measurement","","","28/10/01 00:00:00","","43","387S   ","316742","762973","56.7509","-3.36309"
"498","Badandun Hill","7","Ma,G","740","2428","NO207678","NO 20745 67873","NO215689","586","154","trig point","","","28/10/01 00:00:00","","44","388S   ","320744","767881","56.79568","-3.29919"
"499","Hunt Hill","7","Ma,G","705","2313","NO380805","NO 38003 80525","NO382797","524","181","no feaure: grass area","","","28/10/01 00:00:00","","44","388N   ","338003","780534","56.91195","-3.01978"
"500","Duchray Hill [Mealna Letter]","7","Ma,G","702","2303","NO161672","NO 16154 67249","NO168683","438","264","cairn","","","22/12/07 00:00:00","","43","387S   ","316153","767257","56.78927","-3.37413"
"501","Hill of Wirren","7","Ma,G","678","2224","NO522739","NO 52291 73931","NO493752","367","311","trig point","","","28/10/01 00:00:00","","44","389","352291","773939","56.85441","-2.78392"
"502","Cat Law","7","Ma,G","671","2201","NO318609","NO 31883 60987","NO294641","375","296","no feature: grass","","","10/03/07 00:00:00","","44","381","331883","760995","56.7356","-3.11503"
"503","Corwharn","7","Ma,G","611","2005","NO288651","NO 28860 65095","NO262673","457","154","cairn","","","28/10/01 00:00:00","","44","388S   ","328860","765103","56.77204","-3.16558"
"504","The Coyles of Muick","7","Ma,sG","601","1972","NO328910","NO 32871 91032","NO324895","365","236","cairn","","","28/10/01 00:00:00","","44","388N   ","332871","791041","57.00561","-3.10683"
"505","Crock","7","Ma","554","1818","NO226632","NO 22621 63246","NO225657","402","152","cairn","","","15/01/03 00:00:00","","44","388S   ","322620","763254","56.75444","-3.26709"
"506","Meall Mor","7","Ma","551","1808","NO173602","NO 17334 60239","NO172612","375","176","cairn","","","28/10/01 00:00:00","","43","381 387S  ","317333","760247","56.72653","-3.35255"
"507","Kerloch","7","Ma","534","1752","NO696878","NO 69652 87875","NO672827","353","181","trig point","","","15/01/03 00:00:00","","45","396","369653","787884","56.98114","-2.50092"
"508","Hare Cairn","7","Ma","516","1693","NO242623","NO 24226 62319","NO242642","336","180","trig point: OS measurement","","","28/10/01 00:00:00","","44","388S   ","324226","762327","56.74638","-3.24056"
"509","Creigh Hill","7","Ma","498","1634","NO270593","NO 27080 59354","NO270612","332","166","high point by fence 40m WSW of cairn","","","15/01/03 00:00:00","","53","381","327080","759362","56.7202","-3.19306"
"510","Creag Ghiubhais","7","Ma","486","1594","NO312954","","NO305954","281","205","","","","15/01/03 00:00:00","","37 44","388N   ","331200","795400","57.04451","-3.13553"
"511","Balduff Hill","7","sMa,Hu","425","1394","NO224536","NO 22452 53592","NO206532","284","141","trig point: OS measurement","","","28/10/01 00:00:00","","53","381","322451","753600","56.66771","-3.26693"
"512","Strathfinella Hill","7","Ma","414","1358","NO693787","NO 69305 78729","NO683794","173","241","concealed trig point.","","","28/10/01 00:00:00","","45","396","369306","778737","56.89895","-2.50552"
