Number,_Section,Name,Section,Region,Area,Metres,Feet,Map 1:50k,Map 1:25k,Grid ref,Col grid ref,Col height,Drop,10-figure grid ref,Feature,Observations,Survey,Date climbed,Classification,County,Revision,Comments,xcoord,ycoord,Latitude,Longitude,Streetmap,Get-a-map,Marilyn,SubMarilyn,Deleted Marilyn,Twin Marilyn,Munro,Munro Top,Deleted Munro Top,Corbett,Corbett Top of Munro,Corbett Top of Corbett,Deleted Corbett,Graham,Graham Top of Munro,Graham Top of Corbett,Graham Top of Graham,SubGraham,Donald,Donald Top,Deleted Donald Top,Murdo,SubMurdo,Hewitt,SubHewitt,Nuttall,Deleted Nuttall,Wainwright,Wainwright Outlying Fell,Buxton & Lewis,Dewey,Birkett,HuMP,Bridge,Trail 100,County Top - Historic,County Top - Administrative,County Top - Current County and Unitary Authority,County Top - London Borough
882,11.2,Creag Dhubh,11B,Glen Affric to Glen Moriston,,539,1768,25,415,NH225216,NH216212,335,204,,,,,,Ma,,15-Jan-03,,222500,821600,57.25061,-4.94385,"http://www.streetmap.co.uk/newmap.srf?x=222500&y=821600&z=3&sv=222500,821600&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH225216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
883,11.2,Carn Fiaclach,11B,Glen Affric to Glen Moriston,,457,1499,25,415,NH278272,NH258258,304,153,,,,,,Ma,,15-Jan-03,,227800,827200,57.30288,-4.86002,"http://www.streetmap.co.uk/newmap.srf?x=227800&y=827200&z=3&sv=227800,827200&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH278272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
884,12.1,Sgurr a'Choire Ghlais,12A,Kyle of Lochalsh to Garve,,1083,3553,25,430,NH258430,NH078365,265,818,NH 25885 43006,trig point,cairn 60m NW at NH 25840 43045 could be as high,,,"Ma,M,Mur",,15-Jan-03,,225883,843017,57.44396,-4.90295,"http://www.streetmap.co.uk/newmap.srf?x=225883&y=843017&z=3&sv=225883,843017&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH258430,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
885,12.1,Sgurr a'Chaorachain,12A,Kyle of Lochalsh to Garve,,1053,3455,25,429,NH087447,NH159463,485,568,NH 08754 44726,trig point (broken),,,,"Ma,M,Mur",,28-Oct-01,,208751,844737,57.45249,-5.18927,"http://www.streetmap.co.uk/newmap.srf?x=208751&y=844737&z=3&sv=208751,844737&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH087447,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
886,12.1,Sgurr Fhuar-thuill,12A,Kyle of Lochalsh to Garve,,1049,3442,25,430,NH235437,NH250433,905,144,NH 23582 43743,cairn,,obvious summit,,"sMa,M,Mur,Hu",,28-Oct-01,,223579,843754,57.44968,-4.9418,"http://www.streetmap.co.uk/newmap.srf?x=223579&y=843754&z=3&sv=223579,843754&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH235437,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
887,12.1,Sgurr a'Chaorachain - Bidean an Eoin Deirg,12A,Kyle of Lochalsh to Garve,,1046,3432,25,429 430,NH103443,,965,81,,,,,,"MT,Mur",,28-Oct-01,,210300,844300,57.44932,-5.16321,"http://www.streetmap.co.uk/newmap.srf?x=210300&y=844300&z=3&sv=210300,844300&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH103443,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
888,12.1,Sgurr Fhuar-thuill - Creag Ghorm a'Bhealaich,12A,Kyle of Lochalsh to Garve,,1030,3379,25,430,NH244435,,949,81,NH 24480 43493,small cairn,,obvious summit,,"MT,Mur",,28-Oct-01,,224478,843504,57.44779,-4.92667,"http://www.streetmap.co.uk/newmap.srf?x=224478&y=843504&z=3&sv=224478,843504&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH244435,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,12.1,Sgurr Fhuar-thuill - Sgurr na Fearstaig,12A,Kyle of Lochalsh to Garve,,1015,3330,25,430,NH228437,,987,28,NH 22822 43720,cairn,,,,"MT,sMur",,28-Oct-01,,222819,843731,57.44918,-4.95443,"http://www.streetmap.co.uk/newmap.srf?x=222819&y=843731&z=3&sv=222819,843731&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH228437,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,12.1,Maoile Lunndaidh,12A,Kyle of Lochalsh to Garve,,1007,3304,25,430,NH135458,NH107453,605,402,NH 13521 45856,cairn,,,,"Ma,M,Mur",,28-Oct-01,,213518,845867,57.46461,-5.11081,"http://www.streetmap.co.uk/newmap.srf?x=213518&y=845867&z=3&sv=213518,845867&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH135458,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
891,12.1,Maoile Lunndaidh - Creag Toll a'Choin,12A,Kyle of Lochalsh to Garve,,1006,3301,25,430,NH130453,,993,13,NH 13083 45331,cairn,,,,xMT,,28-Oct-01,,213080,845342,57.45972,-5.1177,"http://www.streetmap.co.uk/newmap.srf?x=213080&y=845342&z=3&sv=213080,845342&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH130453,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,12.1,Sgurr Choinnich,12A,Kyle of Lochalsh to Garve,,999,3278,25,429,NH076446,NH082446,865,134,NH 07629 44617,cairn,,obvious summit,,"M,Mur,Hu",,28-Oct-01,,207626,844628,57.45104,-5.2079,"http://www.streetmap.co.uk/newmap.srf?x=207626&y=844628&z=3&sv=207626,844628&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH076446,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
893,12.1,Maoile Lunndaidh - Carn nam Fiaclan,12A,Kyle of Lochalsh to Garve,,996,3268,25,430,NH123454,,985,11,NH 12372 45494,cairn,,,,MT,,28-Oct-01,,212369,845505,57.46089,-5.12966,"http://www.streetmap.co.uk/newmap.srf?x=212369&y=845505&z=3&sv=212369,845505&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH123454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,12.1,Sgurr na Ruaidhe,12A,Kyle of Lochalsh to Garve,,993,3258,25,430,NH289426,NH280431,767,226,NH 28902 42606,cairn,,obvious summit,,"Ma,M,Mur",,15-Jan-03,,228900,842617,57.44152,-4.85247,"http://www.streetmap.co.uk/newmap.srf?x=228900&y=842617&z=3&sv=228900,842617&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH289426,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
895,12.1,Carn nan Gobhar,12A,Kyle of Lochalsh to Garve,,992,3255,25,430,NH273438,NH266432,855,137,NH 27303 43878,cairn,,obvious summit,,"M,Mur,Hu",,20-Nov-09,Col grid ref updated,227301,843889,57.45232,-4.87997,"http://www.streetmap.co.uk/newmap.srf?x=227301&y=843889&z=3&sv=227301,843889&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH273438,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
896,12.1,Lurg Mhor,12A,Kyle of Lochalsh to Garve,,986,3235,25,429,NH064404,NH046423,545,441,NH 06484 40440,cairn,,,,"Ma,M,Mur",,10-Mar-07,,206481,840451,57.41309,-5.22365,"http://www.streetmap.co.uk/newmap.srf?x=206481&y=840451&z=3&sv=206481,840451&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH064404,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
897,12.1,Lurg Mhor - Meall Mor,12A,Kyle of Lochalsh to Garve,,974,3196,25,429,NH072405,,925,49,,,,,,"MT,Mur",,28-Oct-01,,207200,840500,57.41393,-5.2118,"http://www.streetmap.co.uk/newmap.srf?x=207200&y=840500&z=3&sv=207200,840500&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH072405,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,12.1,Bidein a'Choire Sheasgaich,12A,Kyle of Lochalsh to Garve,,945,3100,25,429,NH049412,NH054406,736,209,NH 04911 41254,cairn,,,,"Ma,M,Mur",,28-Oct-01,,204908,841265,57.41972,-5.25044,"http://www.streetmap.co.uk/newmap.srf?x=204908&y=841265&z=3&sv=204908,841265&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH049412,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
899,12.1,Moruisg,12A,Kyle of Lochalsh to Garve,,928,3045,25,429 430,NH101499,NH096467,334,594,NH 10117 49927,large cairn (SW),tiny cairn 120m NE at NH 10185 50021 is as high; large cairn 315m NE at NH 10292 50191 is at least 2m lower,Abney level,,"Ma,M,Mur",,28-Oct-01,,210114,849939,57.49971,-5.17063,"http://www.streetmap.co.uk/newmap.srf?x=210114&y=849939&z=3&sv=210114,849939&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH101499,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
900,12.1,Sgurr nan Ceannaichean,12A,Kyle of Lochalsh to Garve,,913.43,2997,25,429,NH087480,NH093485,732,181,NH 08726 48053,small cairn on edge of crag,100m SSE of large cairn (NH 08681 48136) and 0.91m higher,Leica NA730/530,,"Ma,C,sMur,xMT",,20-Nov-09,Height updated,208723,848065,57.48232,-5.19234,"http://www.streetmap.co.uk/newmap.srf?x=208723&y=848065&z=3&sv=208723,848065&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH087480,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
901,12.1,Sgurr na Ruaidhe - Aonach na Reise [Sgurr na Ruaidhe East Top],12A,Kyle of Lochalsh to Garve,,913,2995,26,430,NH304428,NH300427,871,42,NH 30412 42837,no feature,,Abney level,,"CTM,sMur",,15-Jan-03,,230410,842848,57.44415,-4.8275,"http://www.streetmap.co.uk/newmap.srf?x=230410&y=842848&z=3&sv=230410,842848&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH304428,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,12.1,Sgurr Choinnich - Sgurr na Conbhaire,12A,Kyle of Lochalsh to Garve,,900,2953,25,429,NH080433,NH079436,821,79,NH 08076 43336,three stones,,obvious summit,,"CTM,sMur",,15-Jan-03,,208073,843347,57.43974,-5.19946,"http://www.streetmap.co.uk/newmap.srf?x=208073&y=843347&z=3&sv=208073,843347&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH080433,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,12.1,Sgurr a'Mhuilinn,12A,Kyle of Lochalsh to Garve,,879,2884,25,430,NH264557,NH170523,303,576,NH 26468 55737,cairn,trig remnants incorporated in cairn,Abney level,,"Ma,C",,28-Oct-01,,226466,855748,57.55839,-4.9023,"http://www.streetmap.co.uk/newmap.srf?x=226466&y=855748&z=3&sv=226466,855748&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH264557,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
904,12.1,Beinn Tharsuinn,12A,Kyle of Lochalsh to Garve,,863,2831,25,429,NH055433,NH062448,637,226,NH 05521 43340,cairn,,obvious summit,,"Ma,C",,28-Oct-01,,205518,843351,57.43869,-5.24196,"http://www.streetmap.co.uk/newmap.srf?x=205518&y=843351&z=3&sv=205518,843351&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH055433,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
905,12.1,Beinn a'Bha'ach Ard,12A,Kyle of Lochalsh to Garve,,862,2828,26,431,NH360434,NH346444,621,241,NH 36061 43474,trig point: OS measurement,,,,"Ma,C",,28-Oct-01,,236059,843485,57.45194,-4.73392,"http://www.streetmap.co.uk/newmap.srf?x=236059&y=843485&z=3&sv=236059,843485&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH360434,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
906,12.1,Sgurr na Feartaig,12A,Kyle of Lochalsh to Garve,,862,2828,25,429,NH055453,NH059449,596,266,NH 05517 45388,cairn on boulder pile,,obvious summit,,"Ma,C",,20-Nov-09,Grid ref updated,205514,845399,57.45705,-5.24365,"http://www.streetmap.co.uk/newmap.srf?x=205514&y=845399&z=3&sv=205514,845399&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH055453,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
907,12.1,Bac an Eich,12A,Kyle of Lochalsh to Garve,,849,2785,25,430,NH222489,NH209450,515,334,NH 22220 48940,trig point,,,,"Ma,C",,28-Oct-01,,222217,848951,57.49577,-4.96824,"http://www.streetmap.co.uk/newmap.srf?x=222217&y=848951&z=3&sv=222217,848951&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH222489,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
908,12.1,Sgurr a'Mhuilinn - Sgurr a'Choire-rainich,12A,Kyle of Lochalsh to Garve,,848,2782,25,430,NH248569,NH248564,705,143,NH 24801 56902,cairn,,obvious summit,,"CTC,sMa,Hu",,15-Jan-03,,224798,856913,57.5682,-4.93097,"http://www.streetmap.co.uk/newmap.srf?x=224798&y=856913&z=3&sv=224798,856913&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH248569,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
909,12.1,Meallan nan Uan,12A,Kyle of Lochalsh to Garve,,838,2749,25,430,NH263544,NH258549,685,153,NH 26374 54463,cairn,,obvious summit,,"Ma,C",,28-Oct-01,,226372,854474,57.54693,-4.90296,"http://www.streetmap.co.uk/newmap.srf?x=226372&y=854474&z=3&sv=226372,854474&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH263544,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
910,12.1,An Sidhean,12A,Kyle of Lochalsh to Garve,,814,2671,25,430,NH171453,NH206481,544,270,NH 17106 45381,cairn,,,,"Ma,C",,8-Jun-09,,217103,845392,57.46181,-5.05078,"http://www.streetmap.co.uk/newmap.srf?x=217103&y=845392&z=3&sv=217103,845392&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH171453,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
911,12.1,Beinn Dronaig,12A,Kyle of Lochalsh to Garve,,797,2615,25,429,NH037381,NH038392,365,432,NH 03712 38172,trig point,,obvious summit,,"Ma,C",,15-Jan-03,,203709,838183,57.39156,-5.26791,"http://www.streetmap.co.uk/newmap.srf?x=203709&y=838183&z=3&sv=203709,838183&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH037381,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
912,12.1,Beinn na Muice,12A,Kyle of Lochalsh to Garve,,695,2280,25,430,NH218402,NH222406,535,160,NH 21886 40219,cairn,,,,"Ma,G",,28-Oct-01,,221883,840230,57.4174,-4.96746,"http://www.streetmap.co.uk/newmap.srf?x=221883&y=840230&z=3&sv=221883,840230&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH218402,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
913,12.1,Meall na Faochaig,12A,Kyle of Lochalsh to Garve,,680,2231,25,430,NH257525,NH216559,408,272,NH 25753 52493,cairn,,Abney level,,"Ma,G",,28-Oct-01,,225751,852504,57.52902,-4.91191,"http://www.streetmap.co.uk/newmap.srf?x=225751&y=852504&z=3&sv=225751,852504&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH257525,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
914,12.1,Carn na Coinnich,12A,Kyle of Lochalsh to Garve,,673,2208,26,431,NH324510,NH277492,408,265,NH 32458 51043,trig point,,,,"Ma,G",,28-Oct-01,Twinned with hill 3319,232456,851054,57.51854,-4.79909,"http://www.streetmap.co.uk/newmap.srf?x=232456&y=851054&z=3&sv=232456,851054&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH324510,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
915,12.1,Beinn Mheadhoin,12A,Kyle of Lochalsh to Garve,,665,2182,25,430,NH258477,NH226472,447,218,NH 25886 47754,cairn,,,,"Ma,G",,28-Oct-01,,225883,847765,57.48655,-4.90631,"http://www.streetmap.co.uk/newmap.srf?x=225883&y=847765&z=3&sv=225883,847765&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH258477,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
916,12.1,Creag Dhubh Mhor,12A,Kyle of Lochalsh to Garve,,612,2008,25,429,NG982404,NG991411,443,169,NG 98289 40467,cairn,,,,"Ma,G",,28-Oct-01,,198286,840478,57.40977,-5.35986,"http://www.streetmap.co.uk/newmap.srf?x=198286&y=840478&z=3&sv=198286,840478&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NG982404,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
917,12.1,Sgurr Marcasaidh,12A,Kyle of Lochalsh to Garve,,580,1903,26,437S,NH354592,NH332586,285,295,NH 35407 59262,trig point: OS measurement,,,,Ma,,15-Jan-03,,235405,859273,57.59336,-4.75548,"http://www.streetmap.co.uk/newmap.srf?x=235405&y=859273&z=3&sv=235405,859273&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH354592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
918,12.1,Creag Loch nan Dearcag,12A,Kyle of Lochalsh to Garve,,537,1762,26,437S,NH333567,NH290583,305,232,,,,,,Ma,,15-Jan-03,,233300,856700,57.5696,-4.78892,"http://www.streetmap.co.uk/newmap.srf?x=233300&y=856700&z=3&sv=233300,856700&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NH333567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
919,12.1,Carn nan Iomairean,12A,Kyle of Lochalsh to Garve,,485,1591,25,429,NG914352,NG940349,257,228,NG 91424 35194,no feature,point 5m from cairn,Abney level,,Ma,,15-Jan-03,,191421,835205,57.3594,-5.46944,"http://www.streetmap.co.uk/newmap.srf?x=191421&y=835205&z=3&sv=191421,835205&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NG914352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
920,12.1,Beinn Conchra,12A,Kyle of Lochalsh to Garve,,453,1486,33,413N 428S,NG887291,NG890301,247,206,NG 88724 29161,cairn,,,,Ma,,15-Jan-03,,188720,829172,57.30406,-5.50907,"http://www.streetmap.co.uk/newmap.srf?x=188720&y=829172&z=3&sv=188720,829172&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NG887291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
921,12.1,Auchtertyre Hill,12A,Kyle of Lochalsh to Garve,,452,1483,33,413N 428S,NG832289,NG863304,208,244,NG 83256 28940,rock,about 20m ENE of trig point,Abney level,,Ma,,28-Oct-01,,183252,828951,57.29952,-5.59945,"http://www.streetmap.co.uk/newmap.srf?x=183252&y=828951&z=3&sv=183252,828951&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NG832289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
922,12.1,Beinn Raimh,12A,Kyle of Lochalsh to Garve,,448,1470,24,428S,NG847312,NG832295,301,147,,,,,,"sMa,Hu",,28-Oct-01,,184700,831200,57.32046,-5.5775,"http://www.streetmap.co.uk/newmap.srf?x=184700&y=831200&z=3&sv=184700,831200&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NG847312,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
923,12.1,Creag Mhor,12A,Kyle of Lochalsh to Garve,,407,1335,25,428S 429,NG903315,NG914331,248,159,NG 90340 31573,three-stone cairn on rock,,Abney level,,Ma,,15-Jan-03,,190336,831584,57.32643,-5.48435,"http://www.streetmap.co.uk/newmap.srf?x=190336&y=831584&z=3&sv=190336,831584&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NG903315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
